timestamp,RECORD,P_Total_Avg,F_Comp,T_RHS_OUT,RH_OUT,T_RHS_IN,RH_IN,T_RHS_SUP,RH_SUP,T_OUT,T_RO_M,T_RO_O,T_RI_M,T_RI_O,T_AI,T_AO1,T_AO2,A_CI,A_HP_Total,A_I_Avg
2020-01-16 13:53:00,2,2220,142.5,11.09,46.02,23.12,22.37,31.91,14.2,10.34,11.14,16.09,44.76,45.02,22.53,34.77,39.42,9.38,10.24,0.249
2020-01-16 13:53:30,3,2160,142.5,10.94,44.84,22.92,22.59,33.98,12.83,11.79,12.42,17.35,44.29,44.65,22.37,34.6,39.47,9.4,10.3,0.287
2020-01-16 13:54:00,4,2220,142.5,10.93,44.81,22.75,22.74,35.0,12.18,12.9,13.24,18.31,45.03,45.27,22.55,34.86,40.16,9.44,10.38,0.298
2020-01-16 13:54:30,5,2160,139.4,10.93,47.45,22.74,22.78,35.71,11.82,11.4,13.75,18.79,45.56,45.89,22.4,35.42,40.51,9.46,10.36,0.298
2020-01-16 13:55:00,6,2220,139.3,10.9,48.08,22.7,22.92,36.25,11.62,10.67,13.74,18.88,45.82,46.2,22.37,35.69,40.73,9.55,10.41,0.3
2020-01-16 13:55:30,7,2220,138.6,10.91,44.9,22.64,23.11,36.68,11.32,12.18,14.06,19.07,46.14,46.58,22.94,36.1,41.3,9.51,10.35,0.299
2020-01-16 13:56:00,8,2220,136.1,11.03,45.53,22.64,23.24,37.04,11.28,11.13,14.15,19.16,46.18,46.68,22.71,36.31,41.25,9.46,10.34,0.301
2020-01-16 13:56:30,9,2160,136.1,10.97,46.95,22.61,23.29,37.14,11.15,11.27,14.21,19.15,46.08,46.59,22.55,36.19,41.29,9.39,10.32,0.301
2020-01-16 13:57:00,10,2160,136.1,10.83,47.1,22.61,23.38,37.29,11.13,10.69,14.3,19.19,46.1,46.61,22.4,36.32,41.26,9.38,10.32,0.301
2020-01-16 13:57:30,11,2220,136.1,10.82,45.52,22.63,23.43,37.36,11.11,12.27,14.26,19.17,46.14,46.65,21.97,36.61,41.28,9.39,10.26,0.3
2020-01-16 13:58:00,12,2160,136.1,10.84,47.95,22.61,23.45,37.41,11.06,11.86,14.35,19.22,46.14,46.65,22.28,36.37,41.35,9.47,10.34,0.299
2020-01-16 13:58:30,13,2160,136.1,10.83,47.77,22.57,23.5,37.49,11.1,10.94,14.37,19.26,46.19,46.68,22.45,36.45,41.37,9.39,10.34,0.302
2020-01-16 13:59:00,14,2220,136.1,10.76,46.65,22.57,23.57,37.54,11.08,12.11,14.54,19.27,46.3,46.76,22.2,36.75,41.26,9.51,10.31,0.299
2020-01-16 13:59:30,15,2220,136.1,10.75,46.81,22.54,23.64,37.71,11.03,10.42,14.36,19.23,46.41,46.9,22.64,36.67,41.46,9.44,10.39,0.302
2020-01-16 14:00:00,16,2160,136.0,10.82,46.16,22.57,23.63,37.71,10.94,11.57,14.34,19.23,46.45,46.95,22.65,36.92,41.67,9.55,10.38,0.299
2020-01-16 14:00:30,17,2220,136.1,10.82,45.72,22.55,23.57,37.8,10.91,12.18,14.26,19.11,46.54,47.02,22.59,36.85,41.59,9.49,10.41,0.301
2020-01-16 14:01:00,18,2220,136.1,10.86,45.58,22.55,23.55,37.94,10.88,12.51,14.25,19.1,46.52,47.02,22.39,36.79,41.58,9.52,10.37,0.3
2020-01-16 14:01:30,19,2220,136.1,10.87,46.51,22.63,23.59,38.02,10.78,11.0,14.35,19.21,46.65,47.16,22.34,36.85,41.65,9.5,10.4,0.3
2020-01-16 14:02:00,20,2220,136.1,10.83,45.31,22.61,23.53,38.06,10.74,11.51,14.15,19.02,46.62,47.15,22.49,36.82,41.89,9.51,10.48,0.302
2020-01-16 14:02:30,21,2160,136.1,10.84,46.5,22.54,23.63,38.12,10.73,11.53,14.16,19.0,46.5,47.04,22.09,36.82,41.73,9.55,10.4,0.299
2020-01-16 14:03:00,22,2220,136.1,10.89,46.01,22.55,23.65,38.1,10.78,11.06,14.04,18.93,46.5,47.02,22.31,36.93,41.62,9.55,10.37,0.3
2020-01-16 14:03:30,23,2220,136.1,10.93,44.94,22.52,23.61,38.12,10.69,12.52,14.14,18.99,46.51,46.99,22.31,36.7,41.7,9.58,10.4,0.298
2020-01-16 14:04:00,24,2220,136.1,10.89,45.1,22.57,23.56,38.11,10.76,11.83,13.97,18.83,46.52,47.02,22.28,36.82,41.65,9.48,10.44,0.302
2020-01-16 14:04:30,25,2220,136.1,10.89,44.47,22.46,23.62,38.12,10.73,11.48,14.06,18.98,46.54,47.02,22.02,36.85,41.71,9.51,10.45,0.299
2020-01-16 14:05:00,26,2220,136.1,10.82,44.69,22.4,23.76,38.14,10.63,10.36,14.08,18.98,46.58,47.03,21.91,36.95,41.64,9.52,10.37,0.3
2020-01-16 14:05:30,27,2220,136.1,10.66,44.78,22.37,23.71,38.15,10.69,10.7,14.11,19.07,46.62,47.05,22.24,36.88,41.65,9.6,10.43,0.298
2020-01-16 14:06:00,28,2220,136.1,10.66,44.6,22.5,23.64,38.15,10.62,10.42,13.79,18.75,46.64,47.12,22.61,36.84,41.88,9.55,10.4,0.301
2020-01-16 14:06:30,29,2220,136.2,10.62,43.9,22.46,23.72,38.11,10.63,10.84,13.91,18.84,46.49,47.01,22.04,36.73,41.66,9.49,10.45,0.301
2020-01-16 14:07:00,30,2220,136.1,10.55,43.63,22.44,23.66,38.1,10.65,10.26,13.86,18.74,46.44,46.94,22.04,36.91,41.85,9.53,10.39,0.301
2020-01-16 14:07:30,31,2220,136.1,10.53,44.66,22.37,23.6,38.02,10.59,10.66,13.84,18.76,46.37,46.86,21.83,36.71,41.63,9.47,10.31,0.302
2020-01-16 14:08:00,32,2160,136.1,10.51,43.03,22.26,23.68,37.97,10.55,10.76,13.83,18.69,46.32,46.78,21.61,36.78,41.42,9.44,10.32,0.301
2020-01-16 14:08:30,33,2220,136.1,10.41,41.94,22.16,23.33,37.97,10.59,10.78,13.81,18.63,46.38,46.83,21.65,36.71,41.3,9.44,10.41,0.302
2020-01-16 14:09:00,34,2220,136.1,10.35,43.05,22.17,23.5,37.91,10.46,10.46,13.84,18.68,46.33,46.8,21.79,36.72,41.28,9.54,10.35,0.3
2020-01-16 14:09:30,35,2160,136.1,10.38,42.66,22.06,23.56,37.84,10.37,10.91,13.81,18.66,46.23,46.68,21.82,36.6,41.14,9.48,10.37,0.302
2020-01-16 14:10:00,36,2220,136.1,10.35,42.36,22.1,23.57,37.85,10.48,10.32,13.85,18.65,46.33,46.77,21.64,36.5,41.36,9.54,10.36,0.299
2020-01-16 14:10:30,37,2160,136.1,10.31,42.01,22.15,23.21,37.81,10.44,11.54,13.78,18.67,46.35,46.83,22.3,36.56,41.36,9.48,10.32,0.303
2020-01-16 14:11:00,38,2220,136.2,10.46,41.96,22.15,23.38,37.84,10.38,11.48,13.85,18.68,46.4,46.86,22.07,36.6,41.43,9.53,10.43,0.302
2020-01-16 14:11:30,39,2220,136.1,10.55,41.6,22.15,23.21,37.85,10.35,12.54,13.91,18.7,46.38,46.85,21.82,36.59,41.31,9.52,10.34,0.302
2020-01-16 14:12:00,40,2220,136.1,10.55,40.48,22.15,23.04,37.85,10.18,12.53,13.96,18.78,46.44,46.9,21.68,36.69,41.46,9.48,10.39,0.303
2020-01-16 14:12:30,41,2160,136.1,10.52,40.41,22.16,22.96,37.85,10.18,10.96,13.83,18.63,46.51,46.96,21.98,36.68,41.53,9.51,10.36,0.302
2020-01-16 14:13:00,42,2220,136.1,10.41,41.21,22.16,22.73,37.95,10.08,11.08,13.99,18.85,46.53,46.96,22.03,36.77,41.37,9.54,10.37,0.303
2020-01-16 14:13:30,43,2220,136.1,10.37,41.72,22.16,22.71,38.0,10.12,12.4,13.95,18.85,46.69,47.08,22.31,36.87,41.62,9.59,10.45,0.302
2020-01-16 14:14:00,44,2220,136.1,10.52,41.66,22.2,22.62,38.01,10.08,11.43,14.06,18.92,46.81,47.21,22.3,37.06,41.82,9.63,10.48,0.302
2020-01-16 14:14:30,45,2220,136.1,10.49,41.79,22.23,22.49,38.11,9.92,11.6,14.03,18.88,46.85,47.28,22.47,37.04,41.84,9.66,10.51,0.3
2020-01-16 14:15:00,46,2220,136.1,10.45,41.78,22.29,22.33,38.17,9.92,10.62,14.01,18.76,46.91,47.37,22.37,37.16,41.92,9.58,10.58,0.303
2020-01-16 14:15:30,47,2220,132.5,10.38,41.61,22.33,22.2,37.8,9.96,11.15,14.17,18.8,48.81,48.62,22.91,37.98,43.62,9.62,10.47,0.168
2020-01-16 14:16:00,48,2160,127.6,10.32,41.46,22.46,22.03,38.25,9.72,10.89,14.2,18.85,49.81,49.86,22.23,38.94,44.75,9.56,10.41,0.163
2020-01-16 14:16:30,49,2160,124.8,10.41,41.38,22.58,21.8,38.88,9.33,10.85,14.43,18.92,50.07,50.3,22.79,39.18,45.25,9.51,10.2,0.161
2020-01-16 14:17:00,50,2160,124.2,10.33,41.17,22.71,21.56,38.96,9.36,11.41,14.43,18.95,50.32,50.55,22.99,39.73,45.55,9.46,10.21,0.161
2020-01-16 14:17:30,51,2160,124.2,10.38,40.52,22.85,21.27,39.04,9.29,11.25,14.59,19.08,50.42,50.7,22.87,40.08,45.48,9.57,10.3,0.162
2020-01-16 14:18:00,52,2160,124.2,10.32,41.13,22.9,21.29,39.09,9.16,10.89,14.53,19.01,50.45,50.73,23.03,39.82,45.65,9.51,10.3,0.163
2020-01-16 14:18:30,53,2160,124.2,10.31,41.22,22.97,21.12,39.16,9.18,10.78,14.48,19.04,50.64,50.87,23.3,39.94,45.95,9.48,10.31,0.163
2020-01-16 14:19:00,54,2220,124.2,10.28,41.11,23.03,21.04,39.44,9.01,11.19,14.62,19.14,50.85,51.03,23.69,40.03,46.09,9.58,10.36,0.162
2020-01-16 14:19:30,55,2160,124.2,10.31,41.05,23.09,20.91,39.53,9.03,11.33,14.61,19.16,50.88,51.06,23.47,40.41,46.03,9.54,10.3,0.161
2020-01-16 14:20:00,56,2220,124.2,10.31,41.22,23.17,20.83,39.57,8.94,10.15,14.78,19.28,51.02,51.22,23.4,40.68,46.1,9.66,10.37,0.16
2020-01-16 14:20:30,57,2160,122.1,10.38,40.45,23.26,20.67,39.86,8.73,11.03,14.79,19.11,50.89,51.21,22.88,40.41,46.39,9.39,10.07,0.161
2020-01-16 14:21:00,58,2100,121.1,10.35,39.98,23.31,20.62,39.87,8.77,11.72,14.74,19.1,50.86,51.1,23.54,40.83,46.18,9.39,10.07,0.161
2020-01-16 14:21:30,59,2160,121.1,10.38,40.0,23.26,20.54,39.69,8.84,11.63,14.85,19.16,50.72,51.03,23.45,40.46,46.1,9.33,10.01,0.163
2020-01-16 14:22:00,60,2100,121.1,10.35,40.28,23.22,20.63,39.67,8.85,10.72,14.56,18.92,50.68,50.98,23.41,40.73,46.18,9.37,10.03,0.163
2020-01-16 14:22:30,61,2160,121.1,10.29,41.15,23.17,20.61,39.53,8.89,10.95,14.53,18.82,50.66,50.95,22.95,40.59,45.96,9.35,10.09,0.162
2020-01-16 14:23:00,62,2100,121.5,10.23,41.42,23.09,20.66,39.43,8.92,11.37,14.53,18.95,50.65,50.83,22.8,40.56,45.99,9.54,10.23,0.161
2020-01-16 14:23:30,63,2160,122.7,10.28,41.19,23.05,20.67,39.46,8.92,12.12,14.55,18.8,50.74,51.02,22.66,40.72,45.98,9.41,10.07,0.162
2020-01-16 14:24:00,64,2160,121.1,10.29,41.64,23.08,20.64,39.84,8.7,10.77,14.55,18.81,50.75,50.94,22.75,40.2,45.86,9.33,10.04,0.161
2020-01-16 14:24:30,65,2100,121.1,10.37,42.97,23.18,20.55,39.96,8.7,11.6,14.57,18.84,50.78,50.94,23.19,40.33,45.9,9.38,10.1,0.162
2020-01-16 14:25:00,66,2160,121.1,10.65,41.84,23.22,20.59,40.06,8.67,13.02,14.51,18.74,50.64,50.87,22.4,40.27,46.06,9.3,10.02,0.161
2020-01-16 14:25:30,67,2100,121.1,10.93,44.78,23.23,20.77,40.08,8.74,11.05,14.53,18.71,50.77,50.93,23.15,40.13,45.9,9.34,10.07,0.162
2020-01-16 14:26:00,68,2160,121.1,10.83,43.66,23.25,20.7,40.14,8.67,11.2,14.4,18.66,50.79,50.99,23.21,40.04,46.21,9.36,10.05,0.161
2020-01-16 14:26:30,69,2160,121.1,10.73,43.59,23.29,20.86,40.2,8.91,11.0,14.42,18.64,50.72,50.98,23.11,40.01,45.99,9.34,10.12,0.161
2020-01-16 14:27:00,70,2100,121.1,10.75,43.71,23.28,21.02,40.27,8.95,11.8,14.3,18.61,50.56,50.84,22.64,39.76,45.89,9.31,10.07,0.162
2020-01-16 14:27:30,71,2160,123.1,10.63,45.02,23.18,21.08,40.14,8.86,11.02,14.1,18.36,50.67,50.95,23.22,40.0,46.05,9.34,10.04,0.161
2020-01-16 14:28:00,72,2100,121.4,10.55,47.01,23.11,21.36,39.99,9.09,10.25,14.14,18.41,50.47,50.76,22.74,39.79,45.75,9.39,10.12,0.161
2020-01-16 14:28:30,73,2160,122.9,10.45,46.8,23.05,21.48,39.83,9.12,10.94,14.31,18.48,50.64,50.89,22.95,39.5,45.75,9.31,10.03,0.161
2020-01-16 14:29:00,74,2160,121.5,10.32,47.02,23.07,21.52,39.94,9.25,10.46,14.2,18.41,50.55,50.73,22.66,40.1,45.89,9.42,10.13,0.161
2020-01-16 14:29:30,75,2160,123.1,10.28,47.82,23.01,21.61,39.83,9.28,11.13,14.15,18.16,50.68,50.91,23.14,39.98,45.92,9.31,10.07,0.162
2020-01-16 14:30:00,76,2160,121.4,10.25,46.99,23.01,21.75,39.67,9.39,12.02,14.29,18.67,50.83,50.71,22.83,39.96,46.17,9.49,10.16,0.113
2020-01-16 14:30:30,77,2160,119.2,10.22,49.29,23.01,21.92,39.33,9.54,9.85,14.5,18.43,53.36,52.77,23.19,41.17,47.75,9.46,10.09,0.11
